Date,Link,Story,keywords,Impact,Correlation,Regression,,
13/1/22,https://businesstimes.co.zw/ariston-expands-productive-area/,Ariston expands productive area,Ariston,1,,,,
13/1/22,https://businesstimes.co.zw/ariston-expands-productive-area/,Ariston expands productive area,rainfall,1,,,,
13/1/22,https://businesstimes.co.zw/ariston-expands-productive-area/,Ariston expands productive area,harvest,1,,,,
13/1/22,https://businesstimes.co.zw/ariston-expands-productive-area/,Ariston expands productive area,Irrigation infrastructure,1,,,,
13/1/22,https://businesstimes.co.zw/ariston-expands-productive-area/,Ariston expands productive area,macadamia,1,,,,
13/1/22,https://businesstimes.co.zw/afdis-sets-up-us1m-cider-plant/,Afdis sets up US$1m code plant,Afdis,1,,,,
13/1/22,https://businesstimes.co.zw/ariston-expands-productive-area/,Ariston expands productive area,Wine maker,1,,,,
13/1/22,https://businesstimes.co.zw/ariston-expands-productive-area/,Ariston expands productive area,Ariston,1,,,,
13/1/22,https://businesstimes.co.zw/ariston-expands-productive-area/,Ariston expands productive area,Afdis profits,1,,,,
13/1/22,https://businesstimes.co.zw/ariston-expands-productive-area/,Ariston expands productive area,Production volume,1,,,,
13/1/22,https://businesstimes.co.zw/ariston-expands-productive-area/,Ariston expands productive area,Ariston,1,,,,
13/1/22,https://businesstimes.co.zw/outcry-over-illegal-miners/,Outcry over illegal miners,gold,1,,,,
13/1/22,https://businesstimes.co.zw/burial-space-running-out-in-byo/,Burial space running out in Bulawayo,,,,,,
13/1/22,https://businesstimes.co.zw/concern-over-exorbitant-school-fees/,Concern over exorbitant school fees,education,-1,,,,
20/1/2022,https://businesstimes.co.zw/lafarge-warns-of-negative-financials/,Lafarge warns of negative financials,Lafarge,-1,,,,
20/1/22,https://businesstimes.co.zw/claremont-disposal-downs-ariston/,Claremont disposal downs Ariston,Financial results,-1,,,,
20/1/22,https://businesstimes.co.zw/claremont-disposal-downs-ariston/,Claremont disposal downs Ariston,Ariston,-1,,,,
20/1/22,https://businesstimes.co.zw/increased-forex-use-spurs-delta/,Increased forex use spurs Delta,Delta,1,,,,
27/1/22,https://businesstimes.co.zw/demand-for-milk-grows/,Demand for milk grows ,dairy,1,,,,
27/1/22,https://businesstimes.co.zw/cafca-posts-zwl262m-loss/,CAFCA posts ZWL$262m loss,CAFCA,-1,,,,
27/1/22,https://businesstimes.co.zw/econet-q3-data-usage-up-43/,Econet Q3 data usage up 43%,Data usage,1,,,,
27/1/22,https://businesstimes.co.zw/econet-q3-data-usage-up-43/,Econet Q3 data usage up 43%,Econet,1,,,,
27/1/22,https://businesstimes.co.zw/econet-q3-data-usage-up-43/,Econet Q3 data usage up 43%,Telecommunications,1,,,,
27/1/22,https://businesstimes.co.zw/vic-falls-charms-eurowings/,Victoria Falls charms Eurowings Discover,Victoria Falls,1,,,,
27/1/22,https://businesstimes.co.zw/hospitality-sector-raises-concern-over-dilapidated-roads/,Hospitality sector raises concern over dilapidated roads,Hospitality,-1,,,,
28/1/22,https://businesstimes.co.zw/rbz-to-promote-use-of-zim-dollar/,RBZ to promote use of Zim dollar,Finance,1,,,,
3/2/22,https://businesstimes.co.zw/afdis-revenue-jumps-57/,Afdis revenue jumps 57%,Afdis,1,,,,
3/2/22,https://businesstimes.co.zw/tsl-profits-up-31/,TSL profits up 31%,TSL,1,,,,
3/2/22,https://businesstimes.co.zw/strong-demand-spurs-starafricacorporation/,Strong demand spurs starafricacorporation,STAR,1,,,,
3/2/22,https://businesstimes.co.zw/telecoms-firms-comply-with-rbz-directive/,Telecoms firms comply with RBZ directive,Telecoms,-1,,,,
3/2/2022,https://businesstimes.co.zw/truworths-reports-subdued-performance/,Truworths reports subdued performance,Truworths,-1,,,,
10/2/22,https://businesstimes.co.zw/real-estate-sector-pushes-for-deeds-office-digitisation/,Real estate sector pushes for deeds office digitisation,Real estate,1,,,,
10/2/22,https://businesstimes.co.zw/hospitality-industry-optimistic-ahead-of-zitf/,Hospitality industry optimistic ahead of ZITF,Hospitality,1,,,,
10/2/22,https://businesstimes.co.zw/call-for-cheaper-electricity-to-boost-sugar-industry/,Call for cheaper electricity to boost sugar industry,Sugar,-1,,,,
10/2/22,https://businesstimes.co.zw/sugar-exports-plunge-68/,Sugar exports plunge 68%,Sugar,-1,,,,
10/2/22,https://businesstimes.co.zw/farmers-embroiled-in-dispute-with-tongaat-hulett/,Farmers embroiled in dispute with Tonga Hulett,Tongat Hulett,-1,,,,
17/2/22,https://businesstimes.co.zw/meikles-revenue-up-33/,Meikles revenue up 33%,Meikles,1,,,,
17/2/22,https://businesstimes.co.zw/nampak-revenue-up-83/,Nampak revenue up 83%,Nampak,1,,,,
17/2/22,https://businesstimes.co.zw/art-to-capitalise-softex/,ART to capitalise Softex,ART,1,,,,
17/2/22,https://businesstimes.co.zw/govt-rushed-to-introduce-reits/,Government rushed to introduce Real Estate Investment Trusts,Real Estate,1,,,,
18/2/22,https://businesstimes.co.zw/govt-rushed-to-introduce-reits/,New push for green infrastructure projects in Africa,infrastructure,1,,,,
24/2/22,https://businesstimes.co.zw/gwata-new-fidelity-life-board-chairman/,Gwata new fidelity board chairman,Fidelity,0,,,,
24/2/22,https://businesstimes.co.zw/nts-q3-volumes-drop/,NTS Q3 volumes drop,NTS,1,,,,
24/2/22,https://businesstimes.co.zw/housing-backlog-soars/,Housing backlog soars,Real Estate,1,,,,
24/2/22,https://businesstimes.co.zw/seed-co-in-subdued-performance/,Seed Co in subdued performance,Seed Co,-1,,,,
3/3/22,https://businesstimes.co.zw/cfi-volume-jumps-17/,CFI volume jumps 17%,CFI,1,,,,
3/3/22,https://businesstimes.co.zw/pay-rise-for-mining-sector-workers/,Pay rise for mining sector workers,Mining,1,,,,
3/3/22,https://businesstimes.co.zw/prioritise-telecoms-sector/,Prioritise telecoms sector,Telecommunications,1,,,,
3/3/22,https://businesstimes.co.zw/govt-committed-to-transform-dairy-sector/,Government committed to transforming dairy sector,Dairy,1,,,,
3/3/22,https://businesstimes.co.zw/retailers-harness-greenback/,Retailers harness greenback,Retailers,1,,,,
10/3/22,https://businesstimes.co.zw/seed-co-unveils-new-maize-seed-varieties/,Seedco unveils new maize seed varieties,Seed Co,1,,,,
10/3/22,https://businesstimes.co.zw/afdis-hit-by-cider-bottle-shortages/,Afdis hit by coder bottle shortages,Afdis,-1,,,,
21/3/22,https://businesstimes.co.zw/delta-launches-new-lager-beer/,Delta launches new lager beer,Delta,1,,,,
24/3/22,https://businesstimes.co.zw/natfoods-expedites-cereal-plant-project/,National Foods expedites cereal plant project,National Foods,1,,,,
24/3/22,https://businesstimes.co.zw/tsl-bets-on-tobacco-boon/,TSL bets on tobacco ban,TSL,1,,,,
24/3/22,https://businesstimes.co.zw/fidelity-life-launches-new-product/,Fidelity life launches new product,Fidelity,1,,,,
24/3/22,https://businesstimes.co.zw/simbisa-splurges-us14m-on-new-outlets/,Simbisa spurges US14mil on new outlets,Simbisa,1,,,,
24/3/22,https://businesstimes.co.zw/innscor-reports-strong-h1-performance/,Innscor reports strong h1 performance,Innscor,1,,,,
24/3/22,https://businesstimes.co.zw/seed-co-donates-to-copota-school-for-the-blind/,Seed Co donates to Copota School for the blind,Seed Co,0,,,,
31/3/22,https://businesstimes.co.zw/zims-mining-potential-charms-rwanda-investors/,Zim mining potential charms Rwanda investors,Mining,1,,,,
1/4/22,https://businesstimes.co.zw/first-capital-pat-spikes-342/,First Capital profit after tax spikes 342%,FCB,1,,,,
31/3/22,https://businesstimes.co.zw/axia-unit-injects-us4-5m-in-bed-factory/,Axia unit injects US5 million in bed factory,Axia,1,,,,
31/3/22,https://businesstimes.co.zw/delta-in-buoyant-mood/,Delta in buoyant mood,Delta,1,,,,
7/4/22,https://businesstimes.co.zw/masimba-revenue-slumps/,Masimba revenue slumps,Masimba,-1,,,,
7/4/22,https://businesstimes.co.zw/fbc-delivers-solid-performance/,FBC delivers solid performance,FBC,1,,,,
7/4/22,https://businesstimes.co.zw/bat-profit-jumps-1-329/,BAT profit jumps ,BAT,1,,,,
14/4/22,https://businesstimes.co.zw/banks-should-be-innovative-to-tap-into-msmes/,Banks should be innovative to tap into SMEs,Banking,1,,,,
14/4/22,https://businesstimes.co.zw/rtg-revenue-up-17/,RTG revenue up 17%,RTG,1,,,,
14/4/22,https://businesstimes.co.zw/gold-deliveries-surge/,Gold deliveries surge,gold,-1,,,,
21/4/22,https://businesstimes.co.zw/dairibord-hits-five-year-sales-volumes-record/,Dairibord hits 5 year sales volumes record,dairibord,1,,,,
21/4/22,https://businesstimes.co.zw/masholds-disposes-charter-house/,Mashonaland Holdings disposes charter house,Mashonaland Holdings,0,,,,
28/4/22,https://businesstimes.co.zw/getbucks-swings-back-into-profit/,Getbucks swings back into profit,Getbucks,1,,,,
28/4/22,https://businesstimes.co.zw/natfoods-volume-growth-slows-in-q3/,National foods volume growth slows in Q3,National Foods,1,,,,
28/4/22,https://businesstimes.co.zw/masholds-eyes-green-infrastructure-rating/,Mashonaland Holdings eyes green infrastructure rating ,Mashonaland Holdings,1,,,,
20/1/22,https://businesstimes.co.zw/gold-exports-near-us2bn/,Gold exports near US2 billion,Gold,1,,,,
13/1/22,https://businesstimes.co.zw/gold-glitters/,Gold glitters,Gold,1,,,,
